lat,lon,name,value
55.7788343,37.6537207,Москва-Пассажирская,1
55.8871767,37.66155,Медведково,1
55.8696342,37.6641097,Бабушкинская,1
55.7576777,37.6627881,Москва-Пассажирская-Курская,1
55.788503,37.7509929,Партизанская,1
55.7833072,37.7212818,Семёновская,1
55.7395085,37.4833717,Филёвский парк,1
55.7437316,37.497737,Багратионовская,1
55.7461266,37.5148273,Фили,1
55.7399906,37.5343862,Кутузовская,1
55.7388299,37.5484101,Студенческая,1
55.7817132,37.7037878,Электрозаводская,1
55.7730392,37.6805494,Бауманская,1
55.7566512,37.6217842,Площадь Революции,1
55.752095,37.6069779,Арбатская,1
55.7407572,37.4169385,Молодёжная,1
55.7359875,37.4671358,Пионерская,1
60.0077248,30.3731957,Информационно-библиотечный комплекс СПбПУ,1
55.747394,37.5818245,Смоленская,1
55.7607508,37.6261429,Кузнецкий Мост,1
55.740465,37.6518996,Таганская,1
55.731857,37.6658787,Пролетарская,1
55.7252386,37.6868906,Волгоградский проспект,1
55.7088138,37.7315039,Текстильщики,1
55.7056021,37.7657844,Кузьминки,1
55.7156444,37.8179229,Выхино,1
55.716947,37.7933151,Рязанский проспект,1
55.7518523,37.6006567,Арбатская,1
55.7500874,37.5413666,Деловой центр,1
55.7524027,37.6086825,Александровский сад,1
55.7436835,37.5656452,Киевская,1
55.721646,37.664423,Тануки,1
55.7295963,37.4707878,Славянский бульвар,1
55.751769,37.8167454,Новогиреево,1
55.7511973,37.7864823,Перово,1
55.7575686,37.7494868,Шоссе Энтузиастов,1
55.7483053,37.5342309,Москва-Сити,1
59.9596274,30.3177957,Райффайзен,1
55.6188619,37.5082183,Тёплый Стан,1
55.657091,37.5405263,Калужская,1
55.6702787,37.5546984,Новые Черёмушки,1
55.6063062,37.533407,Ясенево,1
55.8146824,37.73434,Бульвар Рокоссовского,1
55.8038807,37.7450321,Черкизовская,1
55.7963698,37.7153466,Преображенская площадь,1
55.8550132,37.4762129,Речной вокзал,1
55.8400589,37.4867105,Водный стадион,1
55.819052,37.4980181,Войковская,1
55.8003966,37.5331501,Аэропорт,1
55.7897397,37.558208,Динамо,1
55.7752083,37.6560339,Комсомольская,1
55.780356,37.6676557,Красносельская,1
55.7577723,37.6165101,Охотный ряд,1
55.7598728,37.6278554,Лубянка,1
55.7658711,37.639028,Чистые пруды,1
55.8552129,37.652706,Свиблово,1
55.8448445,37.6382462,Ботанический сад,1
55.7525349,37.7200631,Авиамоторная,1
55.7471964,37.6831971,Площадь Ильича,1
55.7413164,37.6535345,Марксистская,1
55.7937015,37.6364976,Рижская,1
55.7808506,37.6319812,Проспект Мира,1
55.7729551,37.6312038,Сухаревская,1
55.766492,37.637467,Тургеневская,1
55.7409166,37.6273436,Третьяковская,1
55.7304961,37.6109093,Октябрьская,1
55.7199872,37.6076956,Шаболовская,1
55.7454302,37.603807,Кропоткинская,1
55.7512323,37.6101708,Библиотека имени Ленина,1
55.7233833,37.5642133,Спортивная,1
55.7268793,37.57833,Фрунзенская,1
55.7076167,37.5862116,Ленинский проспект,1
55.6878077,37.5735148,Академическая,1
55.6779304,37.5629043,Профсоюзная,1
55.6427774,37.5256804,Беляево,1
55.735811,37.5913019,Парк Культуры,1
55.7297787,37.6093994,Октябрьская,1
55.7488081,37.5827207,Смоленская,1
55.7701709,37.5950872,Маяковская,1
55.7708721,37.6179101,Цветной бульвар,1
55.6009942,37.554139,Новоясеневская,1
55.7304982,37.6378407,Павелецкая,1
55.7323172,37.6381483,Павелецкая,1
55.7575071,37.6191912,Театральная,1
55.7414344,37.6292018,Новокузнецкая,1
55.7648953,37.606313,Тверская,1
55.7073446,37.6577684,Автозаводская,1
55.6784809,37.6639248,Коломенская,1
55.6936232,37.6644353,Технопарк,1
55.7796332,37.6317532,Проспект Мира,1
55.7291072,37.6244196,Добрынинская,1
55.741665,37.6513234,Таганская,1
55.5481082,37.5546254,Улица Скобелевская,1
55.5454337,37.5432114,Бульвар Адмирала Ушакова,1
55.5416949,37.530718,Улица Горчакова,1
55.5381467,37.5165467,Бунинская аллея,1
55.7691136,37.6195511,Трубная,1
55.7463418,37.683251,Римская,1
